                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   1.39,                 3.1205,                 1.7067,                0.53326,                0.29347,                0.25369,                0.14868,                 1.4459,                  2.016,                 1.9435,               0.070027,              0.0033303,              0.0033303
                      1,                 1.3697,                 2.3215,                 1.6278,                0.52182,                 0.2533,                0.24139,                0.14105,                 1.4871,                 2.0963,                 1.9766,               0.039961,              0.0065977,              0.0065977
                      2,                 1.4472,                 2.4304,                  1.684,                0.55537,                0.22851,                0.19726,                 0.1069,                 1.6343,                 2.4226,                 2.0821,              0.0098293,               0.009799,               0.009799
                      3,                 1.4769,                 2.5075,                 1.6869,                0.43447,                0.28833,                0.26841,                0.15204,                 1.4857,                 2.0336,                 1.9175,               0.009703,               0.009703,               0.009703
                      4,                  1.433,                 2.3115,                 1.6421,                0.55022,                 0.3271,                0.35021,                0.20177,                 1.4379,                 1.8062,                 1.8703,               0.009703,               0.009703,               0.009703
                      5,                 1.3975,                  2.154,                 1.6093,                0.50782,                 0.3714,                 0.3696,                0.22183,                 1.4171,                 1.7265,                 1.8481,               0.009604,               0.009604,               0.009604
                      6,                 1.3645,                 2.0403,                 1.5875,                0.50088,                0.40543,                0.38926,                  0.236,                 1.3863,                 1.6576,                  1.816,               0.009505,               0.009505,               0.009505
                      7,                 1.3473,                 1.9548,                 1.5705,                 0.4115,                0.46031,                0.42398,                 0.2608,                 1.3794,                 1.5383,                  1.798,               0.009406,               0.009406,               0.009406
                      8,                 1.3308,                  1.887,                  1.553,                0.46771,                0.47963,                0.46314,                 0.2865,                 1.3634,                 1.4478,                 1.7751,               0.009307,               0.009307,               0.009307
                      9,                 1.3183,                 1.8239,                 1.5422,                 0.5037,                0.46828,                0.46925,                0.29547,                 1.3473,                 1.3964,                 1.7599,               0.009208,               0.009208,               0.009208
